Category	CONCEPT	avg cosine	animacy	norm_fam	ln(word_freq)	word length	num_syllable
an_animal	seal	0.050286506	y	2.9	3.044522438	4	1
a_tool	bolts	0.050205176	n	4.9	2.397895273	5	1
furniture	desk	0.050020333	n	8.65	4.234106505	4	1
a_building	shed	0.049942699	n	7.05	2.708050201	4	1
a_plant	rhubarb	0.04990573	n	3.95	0	7	2
a_fruit	grape	0.049853974	n	7.1	2.302585093	5	1
an_animal	zebra	0.049750462	y	2.6	0	5	2
an_animal	lion	0.049733826	y	4.05	3.135494216	4	2
a_miscellaneous_nonliving_thing	key	0.049530499	n	8.75	4.804021045	3	1
an_animal	beetle	0.049513863	y	4.2	0	6	2
an_animal	lamb	0.049375231	y	4.5	2.63905733	4	1
an_animal	hyena	0.049197782	y	1.75	0	5	3
an_animal	cat	0.048872458	y	7.65	3.713572067	3	1
a_fruit	raspberry	0.048783734	n	6.15	0	9	3
a_musical_instrument	tuba	0.048772643	n	3.3	0	4	2
a_fruit	tangerine	0.048578558	n	7.1	0	9	3
an_animal	trout	0.048569316	y	5.05	1.386294361	5	1
a_vegetable	cabbage	0.048545287	n	5.6	1.386294361	7	2
an_animal	salmon	0.048445471	y	4.75	1.098612289	6	2
a_musical_instrument	cello	0.048358595	n	2.75	0	5	2
an_animal	goat	0.048316081	y	4.05	1.791759469	4	1
a_vegetable	lettuce	0.048288355	n	7.95	0	7	2
a_tool	wrench	0.048251386	n	4.7	0.693147181	6	1
an_animal	octopus	0.048160813	y	2.1	0	7	3
an_animal	leopard	0.048088725	y	3.35	0	7	2
a_vegetable	zucchini	0.047966728	n	5.1	0	8	3
furniture	shelves	0.047927911	n	7.9	2.995732274	7	1
a_vehicle	cart	0.047534196	n	5.7	2.302585093	4	1
furniture	cabinet	0.047523105	n	8.35	3.091042453	7	3
a_plant	cucumber	0.047463956	n	7.1	0	8	3
an_insect	grasshopper	0.047375231	y	4.95	1.386294361	11	3
an_animal	panther	0.047351201	y	2.6	0.693147181	7	2
a_miscellaneous_nonliving_thing	anchor	0.047218115	n	3.85	2.833213344	6	2
a_fruit	cherry	0.047201479	n	6.9	2.079441542	6	2
a_plant	celery	0.047166359	n	7.55	1.386294361	6	3
a_musical_instrument	piano	0.047157116	n	5.95	3.663561646	5	3
a_tool	chisel	0.046959335	n	3.85	1.609437912	6	2
a_weapon	bazooka	0.046900185	n	2.05	0	7	3
a_fish	sardine	0.046863216	y	3.15	0.693147181	7	2
a_weapon	dagger	0.046828096	n	3	0	6	2
furniture	bookcase	0.046685767	n	8.15	1.098612289	8	2
a_fruit	apple	0.046582255	n	8.3	2.708050201	5	2
a_fruit	lime	0.046556377	n	5.35	2.564949357	4	1
an_animal	goldfish	0.046462107	y	6.4	0	8	2
a_miscellaneous_nonliving_thing	bullet	0.046441774	n	3.65	3.33220451	6	2
an_animal	tortoise	0.046356747	y	2.4	1.386294361	8	2
an_animal	frog	0.046260628	y	5.45	0.693147181	4	1
a_weapon	grenade	0.046190388	n	2.2	2.197224577	7	2
a_fruit	strawberry	0.046158965	n	8.45	0.693147181	10	3
a_vegetable	radish	0.046099815	n	4.95	2.079441542	6	2
an_animal	ostrich	0.046055453	y	2.55	0	7	2
a_plant	honeydew	0.045878004	n	4.25	0	8	3
a_vehicle	skateboard	0.045837338	n	4.85	0	10	2
an_animal	swan	0.045744917	y	4.2	1.386294361	4	1
